Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Toyota Land Cruiser 200, 2021/2021",https://www.unegui.mn/adv/9843464_toyota-land-cruiser-200-2021-2021/,165 сая₮180 сая₮,4.2 л,Автомат,Зөв,Жийп,Саарал,2021,2021,Дизель,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,80000 км,Дугаар авсан
"Toyota Camry, 2015/2024",https://www.unegui.mn/adv/9860261_toyota-camry-2015-2024/,32.5 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2015,2024,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,110000 км,Дугаар авсан
"Toyota Crown, 2013/2025",https://www.unegui.mn/adv/9860946_toyota-crown-2013-2025/,36.5 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2013,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,147000 км,Дугаар аваагүй
"Toyota Aqua, 2019/2025",https://www.unegui.mn/adv/9870368_toyota-aqua-2019-2025/,21 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2019,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,123000 км,Дугаар аваагүй
"Toyota Alphard, 2012/2025",https://www.unegui.mn/adv/9871210_toyota-alphard-2012-2025/,49 сая₮,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2012,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,90000 км,Дугаар авсан
"Toyota Alphard, 2003/2013",https://www.unegui.mn/adv/9871170_toyota-alphard-2003-2013/,13 сая₮,2.4 л,Автомат,Буруу,Гэр бүлийн,Шар,2003,2013,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,270000 км,Дугаар авсан
"Toyota C-HR, 2018/2025",https://www.unegui.mn/adv/9871169_toyota-c-hr-2018-2025/,43 сая₮,1.8 л,Автомат,Буруу,Жийп,Хар,2018,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,176000 км,Дугаар аваагүй
"Lexus LX 570, 2012/2013",https://www.unegui.mn/adv/9871146_lexus-lx-570-2012-2013/,115 сая₮,5.7 л,Автомат,Зөв,Жийп,Хар,2012,2013,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,106000 км,Дугаар авсан
"Toyota Hiace, 2017/2025",https://www.unegui.mn/adv/9785939_toyota-hiace-2017-2025/,59 сая₮,2.7 л,Автомат,Буруу,Гэр бүлийн,Цагаан,2017,2025,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,141000 км,Дугаар аваагүй
"Mitsubishi Outlander, 2010/2020",https://www.unegui.mn/adv/9871066_mitsubishi-outlander-2010-2020/,20 сая₮,2.3 л,Автомат,Буруу,Жийп,Хар,2010,2020,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,100 км,Дугаар авсан
"Toyota Land Cruiser 100, 2002/2010",https://www.unegui.mn/adv/9871064_toyota-land-cruiser-100-2002-2010/,36 сая₮,4.8 л,Автомат,Буруу,Жийп,Сувдан цагаан,2002,2010,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,260000 км,Дугаар авсан
"Lexus NX, 2015/2025",https://www.unegui.mn/adv/9220741_lexus-nx-2015-2025/,60.5 сая₮77 сая₮,2.5 л,Автомат,Буруу,Жийп,Хар,2015,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,113000 км,Дугаар авсан
"Toyota FJ Cruiser, 2011/2025",https://www.unegui.mn/adv/9357529_toyota-fj-cruiser-2011-2025/,76 сая₮,4.0 л,Автомат,Буруу,Жийп,Шар,2011,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,156000 км,Дугаар аваагүй
"Lexus RX 350, 2023/2023",https://www.unegui.mn/adv/9870901_lexus-rx-350-2023-2023/,215 сая₮,2.4 л,Автомат,Зөв,Жийп,Хар,2023,2023,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,20000 км,Дугаар авсан
"Toyota Voxy, 2016/2025",https://www.unegui.mn/adv/9810811_toyota-voxy-2016-2025/,31.5 сая₮34.5 сая₮,1.8 л,Автомат,Буруу,Гэр бүлийн,Ногоон,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,200 км,Дугаар аваагүй
"Toyota C-HR, 2018/2025",https://www.unegui.mn/adv/9870840_toyota-c-hr-2018-2025/,46.8 сая₮,1.8 л,Автомат,Буруу,Жийп,Хар,2018,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,111111 км,Дугаар аваагүй
"Honda Element, 2003/2010",https://www.unegui.mn/adv/9870827_honda-element-2003-2010/,7 сая₮,2.3 л,Автомат,Буруу,Гэр бүлийн,Бусад,2003,2010,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,158000 км,Дугаар авсан
"Toyota Sai, 2009/2024",https://www.unegui.mn/adv/9870808_toyota-sai-2009-2024/,20 сая₮,2.3 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2009,2024,Бензин,Хувь лизингтэй,Хувь лизингтэй,Урдаа FWD,200 км,Дугаар авсан
"Toyota Vellfire, 2017/2025",https://www.unegui.mn/adv/9870824_toyota-vellfire-2017-2025/,69.8 сая₮,2.5 л,Автомат,Буруу,Гэр бүлийн,Хар,2017,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,111111 км,Дугаар аваагүй
"Ford Explorer, 2018/2025",https://www.unegui.mn/adv/9870823_ford-explorer-2018-2025/,69 сая₮,2.3 л,Автомат,Буруу,Жийп,Сувдан цагаан,2018,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,130000 км,Дугаар аваагүй
"Toyota Prius 41, 2012/2025",https://www.unegui.mn/adv/9870794_toyota-prius-41-2012-2025/,22.8 сая₮,1.8 л,Автомат,Буруу,Гэр бүлийн,Саарал,2012,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,151 км,Дугаар аваагүй
"Toyota Fielder, 2015/2025",https://www.unegui.mn/adv/9066758_toyota-fielder-2015-2025/,26.8 сая₮,1.5 л,Автомат,Буруу,Гэр бүлийн,Саарал,2015,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,111111 км,Дугаар аваагүй
"Toyota Land Cruiser 300, 2025/2025",https://www.unegui.mn/adv/9556964_toyota-land-cruiser-300-2025-2025/,368 сая₮,3.5 л,Автомат,Буруу,Жийп,Цагаан,2025,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,1 км,Дугаар аваагүй
"Ford Explorer, 2016/2025",https://www.unegui.mn/adv/9840558_ford-explorer-2016-2025/,58 сая₮,2.3 л,Автомат,Зөв,Жийп,Сувдан цагаан,2016,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,80000 км,Дугаар аваагүй
"Ford Mustang, 2017/2025",https://www.unegui.mn/adv/9820787_ford-mustang-2017-2025/,63 сая₮67 сая₮,2.3 л,Автомат,Зөв,Суудлын тэрэг,Сувдан цагаан,2017,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,61000 км,Дугаар аваагүй
"Ford Mustang, 2017/2025",https://www.unegui.mn/adv/9820777_ford-mustang-2017-2025/,77 сая₮82 сая₮,2.3 л,Автомат,Зөв,Суудлын тэрэг,Хүрэн,2017,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,130000 км,Дугаар авсан
"Lexus HS, 2010/2025",https://www.unegui.mn/adv/9870712_lexus-hs-2010-2025/,27.8 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2010,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,148000 км,Дугаар авсан
"Toyota Land Cruiser 300, 2025/2025",https://www.unegui.mn/adv/9870703_toyota-land-cruiser-300-2025-2025/,240 сая₮,3.6 л,Автомат,Зөв,Жийп,Бор,2025,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,4400 км,Дугаар авсан
"Ford Бусад, 2023/2025",https://www.unegui.mn/adv/9870653_ford-busad-2023-2025/,30 сая₮,1.5 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2023,2025,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,20000 км,Дугаар авсан
"Toyota Land Cruiser 77, 2025/2025",https://www.unegui.mn/adv/9847875_toyota-busad-2025-2025/,170 сая₮,0.4 л,Механик,Зөв,Жийп,Бусад,2025,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,1 км,00 гүйлттэй
"Toyota Hilux, 2008/2024",https://www.unegui.mn/adv/9703944_toyota-hilux-2008-2024/,56 сая₮59 сая₮,2.8 л,Автомат,Буруу,Жийп,Хар,2008,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,100 км,Дугаар авсан
"Toyota Aqua, 2012/2023",https://www.unegui.mn/adv/9870509_toyota-aqua-2012-2023/,14 сая₮,1.3 л,Автомат,Буруу,Суудлын тэрэг,Хөх,2012,2023,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,270000 км,Дугаар авсан
"Nissan Elgrand, 2015/2025",https://www.unegui.mn/adv/9227077_nissan-elgrand-2015-2025/,37 сая₮,3.5 л,Автомат,Буруу,Гэр бүлийн,Бор,2015,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,270000 км,Дугаар авсан
"Lexus LX 570, 2016/2018",https://www.unegui.mn/adv/9698104_lexus-lx-570-2016-2018/,198 сая₮,5.7 л,Автомат,Зөв,Жийп,Саарал,2016,2018,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,115000 км,Дугаар авсан
"Nissan X-Trail, 2017/2025",https://www.unegui.mn/adv/9870330_nissan-x-trail-2017-2025/,33 сая₮35 сая₮,2.0 л,Автомат,Буруу,Жийп,Улбар шар,2017,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,150000 км,Дугаар авсан
"Toyota Prius 40, 2012/2023",https://www.unegui.mn/adv/9870276_toyota-prius-40-2013-2023/,21 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2023,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,220000 км,Дугаар авсан
"Lexus NX, 2023/2025",https://www.unegui.mn/adv/9493669_lexus-nx-2023-2025/,135 сая₮,2.5 л,Автомат,Буруу,Жийп,Хар,2023,2025,Бензин,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,19000 км,Дугаар аваагүй
"Toyota Probox, 2019/2025",https://www.unegui.mn/adv/9854687_toyota-probox-2019-2025/,21 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2019,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,16000 км,Дугаар аваагүй
"Subaru Forester, 2014/2023",https://www.unegui.mn/adv/9870037_subaru-forester-2014-2023/,27.8 сая₮,2.0 л,Автомат,Буруу,Жийп,Сувдан цагаан,2014,2023,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,191000 км,Дугаар авсан
"Mercedes-Benz G-Class, 2019/2019",https://www.unegui.mn/adv/9870010_mercedes-benz-g-class-2019-2019/,470 сая₮,4.0 л,Автомат,Зөв,Жийп,Хар,2019,2019,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,500000 км,Дугаар авсан
"Toyota Land cruiser Prado 150, 2018/2025",https://www.unegui.mn/adv/9795340_toyota-land-cruiser-prado-150-2018-2025/,107 сая₮,2.7 л,Автомат,Буруу,Жийп,Сувдан цагаан,2018,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,86000 км,Дугаар аваагүй
"Changan UNI-K, 2022/2025",https://www.unegui.mn/adv/9869771_changan-uni-k-2022-2025/,58 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар,2022,2025,Бензин,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,59000 км,Дугаар аваагүй
"Lexus RX 300, 2022/2025",https://www.unegui.mn/adv/9846819_lexus-rx-300-2022-2025/,138 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар,2022,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,14300 км,Дугаар авсан
"Lexus RX 300, 2021/2025",https://www.unegui.mn/adv/9869661_lexus-rx-300-2021-2025/,140 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар саарал,2021,2025,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,15000 км,Дугаар авсан
"Lexus HS, 2012/2024",https://www.unegui.mn/adv/9869389_lexus-hs-2012-2024/,33 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хөх,2012,2024,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,39000 км,Дугаар авсан
"Toyota Highlander, 2008/2019",https://www.unegui.mn/adv/9850655_toyota-highlander-2008-2019/,26 сая₮,3.3 л,Автомат,Зөв,Жийп,Саарал,2008,2019,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,160000 км,Дугаар авсан
"Toyota Estima, 2010/2024",https://www.unegui.mn/adv/9852544_toyota-estima-2010-2024/,18.5 сая₮,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2010,2024,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,175000 км,Дугаар авсан
"Toyota Prius 50, 2016/2022",https://www.unegui.mn/adv/9869272_toyota-prius-50-2016-2022/,23.5 сая₮,1.7 л,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2022,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,215000 км,Дугаар авсан
"Lexus LX 570, 2013/2012",https://www.unegui.mn/adv/9807301_lexus-lx-570-2014-2014/,115 сая₮,5.7 л,Автомат,Зөв,Жийп,Саарал,2013,2012,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,102000 км,Дугаар авсан
"Suzuki Jimny, 2024/2024",https://www.unegui.mn/adv/9869034_isuzu-busad-2024-2024/,85 сая₮,1.5 л,Автомат,Зөв,Жийп,Улаан,2024,2024,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,18000 км,Дугаар авсан
"Toyota Land cruiser Prado 120, 2005/2020",https://www.unegui.mn/adv/9869196_toyota-land-cruiser-prado-120-2005-2020/,50 сая₮,3.4 л,Автомат,Буруу,Жийп,Хар,2005,2020,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,200000 км,Дугаар авсан
"Toyota Prius 20, 2007/2018",https://www.unegui.mn/adv/9869071_toyota-prius-20-2007-2018/,10.8 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2007,2018,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,3333333333 км,Дугаар авсан
"Lexus RX 300, 2020/2025",https://www.unegui.mn/adv/9800009_lexus-rx-300-1996-2025/,98 сая₮120 сая₮,2.0 л,Автомат,Зөв,Жийп,Саарал,2020,2025,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,44000 км,Дугаар авсан
"Lexus LX 470, 2006/2011",https://www.unegui.mn/adv/9868985_lexus-lx-470-2006-2011/,47 сая₮,4.7 л,Автомат,Зөв,Жийп,Саарал,2006,2011,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,260000 км,Дугаар авсан
"Ford Mustang, 2017/2024",https://www.unegui.mn/adv/9868925_ford-mustang-2017-2024/,54 сая₮,2.3 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2017,2024,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,280000 км,Дугаар авсан
"Toyota Land Cruiser 200, 2017/2018",https://www.unegui.mn/adv/9846381_toyota-land-cruiser-200-2017-2018/,188 сая₮,4.7 л,Автомат,Зөв,Жийп,Хар,2017,2018,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,89000 км,Дугаар авсан
"Toyota Vellfire, 2015/2025",https://www.unegui.mn/adv/9800370_toyota-vellfire-2015-2025/,59 сая₮65 сая₮,2.4 л,Автомат,Буруу,Гэр бүлийн,Хар,2015,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,150000 км,Дугаар авсан
"Toyota Land Cruiser 200, 2014/2024",https://www.unegui.mn/adv/9860273_toyota-land-cruiser-200-2014-2024/,128 сая₮,4.7 л,Автомат,Буруу,Жийп,Саарал,2014,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,120000 км,Дугаар авсан
"BYD Seal, 2023/2023",https://www.unegui.mn/adv/9866527_byd-busad-2023-2023/,115 сая₮,Цахилгаан,Автомат,Зөв,Суудлын тэрэг,Цагаан,2023,2023,Цахилгаан,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,21000 км,Дугаар авсан
"Jeep Wrangler, 2020/2020",https://www.unegui.mn/adv/9868747_jeep-wrangler-2020-2020/,125 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар саарал,2020,2020,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,67000 км,Дугаар авсан
"Toyota Camry, 2015/2025",https://www.unegui.mn/adv/9868689_toyota-camry-2015-2025/,40.5 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2025,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,66000 км,Дугаар аваагүй
"Volkswagen Tiguan, 2012/2019",https://www.unegui.mn/adv/8699327_volkswagen-tiguan-2012-2019/,27 сая₮,1.4 л,Автомат,Буруу,Жийп,Цагаан,2012,2019,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,124000 км,Дугаар авсан
"Toyota Sai, 2013/2025",https://www.unegui.mn/adv/9460150_toyota-sai-2013-2025/,36 сая₮44.5 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2013,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,243439 км,Дугаар авсан
"Lexus CT, 2011/2025",https://www.unegui.mn/adv/9594609_lexus-ct-2011-2025/,26.5 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,97300 км,Дугаар аваагүй
"Toyota Prius 51, 2016/2025",https://www.unegui.mn/adv/9483012_toyota-prius-50-2016-2025/,30.5 сая₮32 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,227000 км,Дугаар авсан
"Toyota Camry, 2011/2025",https://www.unegui.mn/adv/9459037_toyota-camry-2011-2025/,30 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2011,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,188100 км,Дугаар аваагүй
"Mercedes-Benz S-Class, 2015/2025",https://www.unegui.mn/adv/9652853_mercedes-benz-s-class-2015-2025/,75 сая₮95 сая₮,3.5 л,Автомат,Зөв,Суудлын тэрэг,Цагаан,2015,2025,Хайбрид,Лизинггүй,Лизинггүй,Хойноо RWD,99000 км,Дугаар авсан
"Lexus LX 570, 2020/2022",https://www.unegui.mn/adv/9868518_lexus-lx-570-2020-2022/,265 сая₮,5.7 л,Автомат,Зөв,Жийп,Хар,2020,2022,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,80000 км,Дугаар авсан
"Toyota Prius 55, 2016/2025",https://www.unegui.mn/adv/9868493_toyota-prius-55-2016-2025/,35 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хүрэн,2016,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,15100 км,Дугаар авсан
"Subaru Forester, 2011/2012",https://www.unegui.mn/adv/9868383_subaru-forester-2011-2012/,19 сая₮,2.5 л,Автомат,Зөв,Жийп,Хөх,2011,2012,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,102430 км,Дугаар авсан
"Nissan Patrol, 2022/2023",https://www.unegui.mn/adv/9861415_nissan-patrol-2022-2023/,230 сая₮250 сая₮,5.6 л,Автомат,Зөв,Жийп,Хөх,2022,2023,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,52000 км,Дугаар авсан
"Mazda CX, 2021/2022",https://www.unegui.mn/adv/9769088_mazda-cx-2021-2022/,40 сая₮43 сая₮,2.5 л,Автомат,Буруу,Жийп,Хар саарал,2021,2022,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,46000 км,Дугаар авсан
"BYD Бусад, 2025/2025",https://www.unegui.mn/adv/9732795_byd-busad-2024-2025/,67 сая₮72 сая₮,1.5 л,Автомат,Зөв,Жийп,Саарал,2025,2025,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,4000 км,Дугаар аваагүй
"Volkswagen Touareg, 2018/2019",https://www.unegui.mn/adv/9811306_volkswagen-touareg-2018-2019/,150 сая₮,3.0 л,Автомат,Зөв,Жийп,Хар,2018,2019,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,64600 км,Дугаар авсан
"Toyota C-HR, 2017/2023",https://www.unegui.mn/adv/9868184_toyota-c-hr-2017-2023/,40 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2017,2023,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,127000 км,Дугаар авсан
"Mercedes-Benz E-Class, 2018/2025",https://www.unegui.mn/adv/9774364_mercedes-benz-e-class-2018-2025/,88 сая₮,3.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2018,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,139000 км,Дугаар авсан
"Lexus LX 600, 2025/2025",https://www.unegui.mn/adv/9813048_lexus-lx-600-2025-2025/,580 сая₮630 сая₮,3.5 л,Автомат,Зөв,Жийп,Ногоон,2025,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,6 км,00 гүйлттэй
"Lexus HS, 2010/2025",https://www.unegui.mn/adv/9826796_lexus-hs-2010-2025/,29 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Бусад,2010,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,110000 км,Дугаар аваагүй
"Toyota Prius 20, 2007/2014",https://www.unegui.mn/adv/9868020_toyota-prius-20-2007-2014/,7.8 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2007,2014,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,203000 км,Дугаар авсан
"Lexus RX 350, 2014/2020",https://www.unegui.mn/adv/9792154_lexus-rx-350-2014-2020/,45 сая₮,3.5 л,Автомат,Зөв,Жийп,Цагаан,2014,2020,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,100000 км,Дугаар авсан
"Subaru Forester, 2018/2022",https://www.unegui.mn/adv/9868009_subaru-forester-2018-2022/,39 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2018,2022,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,174500 км,Дугаар авсан
"Toyota Prius 30, 2010/2022",https://www.unegui.mn/adv/9867928_toyota-prius-30-2010-2022/,16.8 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2010,2022,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,300000 км,Дугаар авсан
"Lexus RX 350, 2010/2025",https://www.unegui.mn/adv/9765939_lexus-rx-350-2010-2025/,49.5 сая₮,3.5 л,Автомат,Буруу,Жийп,Цагаан,2010,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,95000 км,Дугаар аваагүй
"Nissan Juke, 2014/2022",https://www.unegui.mn/adv/9830283_nissan-juke-2014-2022/,16.8 сая₮,1.6 л,Автомат,Буруу,Жийп,Сувдан цагаан,2014,2022,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,109000 км,Дугаар авсан
"Toyota Fielder, 2015/2020",https://www.unegui.mn/adv/9867898_toyota-fielder-2015-2020/,15 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2015,2020,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,160000 км,Дугаар авсан
"Toyota Prius 40, 2012/2024",https://www.unegui.mn/adv/9867872_toyota-prius-40-2012-2024/,24.5 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2024,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар авсан
"Mercedes-Benz S-Class, 2016/2023",https://www.unegui.mn/adv/9867865_mercedes-benz-s-class-2016-2023/,100 сая₮,3.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2016,2023,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,140000 км,Дугаар авсан
"Lexus HS, 2010/2025",https://www.unegui.mn/adv/9523210_lexus-hs-2010-2025/,29.5 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,120000 км,Дугаар аваагүй
"Lexus LX 600, 2023/2024",https://www.unegui.mn/adv/9720621_lexus-lx-600-2023-2024/,430 сая₮,3.5 л,Автомат,Зөв,Жийп,Саарал,2023,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,15000 км,Дугаар авсан
"Mercedes-Benz G-Class, 2023/2024",https://www.unegui.mn/adv/9867817_mercedes-benz-g-class-2023-2024/,560 сая₮,4.0 л,Автомат,Зөв,Жийп,Хар,2023,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,10000 км,Дугаар авсан
"Lexus LX 470, 2020/2021",https://www.unegui.mn/adv/9648977_lexus-lx-2020-2021/,280 сая₮,5.7 л,Автомат,Зөв,Жийп,Хар,2020,2021,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,60000 км,Дугаар авсан
"Mercedes-Benz E-Class, 2016/2024",https://www.unegui.mn/adv/9867625_mercedes-benz-e-class-2016-2024/,58 сая₮,3.5 л,Автомат,Зөв,Суудлын тэрэг,Хар,2016,2024,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,61000 км,Дугаар авсан
"Toyota Corolla cross, 2023/2025",https://www.unegui.mn/adv/9867678_toyota-corolla-cross-2023-2025/,59 сая₮,2.0 л,Автомат,Буруу,Жийп,Сувдан цагаан,2023,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,35000 км,Дугаар аваагүй
"Toyota Prius 30, 2014/2023",https://www.unegui.mn/adv/9867589_toyota-prius-30-2014-2023/,20 сая₮,4.6 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2014,2023,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,322597 км,Дугаар авсан
