Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Toyota Tundra, 2015/2022",https://www.unegui.mn/adv/9874509_toyota-tundra-2015-2022/,100 сая₮,5.7 л,Автомат,Зөв,Жийп,Сувдан цагаан,2015,2022,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,130000 км,Дугаар авсан
"Toyota Prius 41, 2020/2025",https://www.unegui.mn/adv/9868883_toyota-prius-41-2020-2025/,36.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2020,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,209000 км,Дугаар аваагүй
"Lexus RX 450, 2013/2025",https://www.unegui.mn/adv/9869052_lexus-rx-450-2013-2025/,58.9 сая₮,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,88000 км,Дугаар аваагүй
"Lexus RX 450, 2013/2025",https://www.unegui.mn/adv/9839341_lexus-rx-450-2013-2025/,55.9 сая₮,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,121000 км,Дугаар аваагүй
"Toyota Harrier, 2016/2025",https://www.unegui.mn/adv/9839927_toyota-harrier-2016-2025/,57.9 сая₮,2.5 л,Автомат,Буруу,Жийп,Хар,2016,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,117000 км,Дугаар аваагүй
"Toyota Prius 51, 2016/2025",https://www.unegui.mn/adv/9869841_toyota-prius-51-2016-2025/,30.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2016,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар аваагүй
"Toyota Prius 41, 2016/2025",https://www.unegui.mn/adv/9839052_toyota-prius-41-2016-2025/,31.4 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2016,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар аваагүй
"Toyota Land cruiser Prado 150, 2022/2025",https://www.unegui.mn/adv/9588848_toyota-land-cruiser-prado-150-2023-2025/,123.9 сая₮,2.7 л,Автомат,Буруу,Жийп,Хар,2022,2025,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,29000 км,Дугаар аваагүй
"Toyota Harrier, 2016/2025",https://www.unegui.mn/adv/9849646_toyota-harrier-2016-2025/,50.9 сая₮,2.5 л,Автомат,Буруу,Жийп,Хар,2016,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,197000 км,Дугаар аваагүй
"Lexus GS, 2012/2025",https://www.unegui.mn/adv/9779029_lexus-gs-2012-2025/,40 сая₮,3.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,145000 км,Дугаар аваагүй
"Toyota Alphard, 2020/2025",https://www.unegui.mn/adv/9841475_toyota-alphard-2020-2025/,89.9 сая₮,2.5 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2020,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,200000 км,Дугаар аваагүй
"Toyota Prius 50, 2016/2025",https://www.unegui.mn/adv/9839633_toyota-prius-50-2016-2025/,27.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2016,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар аваагүй
"Toyota Prius PRIME 52, 2017/2025",https://www.unegui.mn/adv/9849939_toyota-prius-prime-52-2017-2025/,35.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2017,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,189000 км,Дугаар аваагүй
"Lexus RX 450, 2018/2025",https://www.unegui.mn/adv/9835472_lexus-rx-450-2018-2025/,96.9 сая₮,3.5 л,Автомат,Буруу,Жийп,Хар,2018,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,114000 км,Дугаар аваагүй
"Автомашин Бусад, 2017/2025",https://www.unegui.mn/adv/9874165_avtomashin-zarna-busad-2017-2025/,25 сая₮,2.0 л,Автомат,Зөв,Жийп,Цагаан,2017,2025,Бензин,Лизинггүй,Лизинггүй,Урдаа FWD,80 км,Дугаар авсан
